Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources,
Austria,,9/1/39,8/31/45,"62,5","62,5",,62500.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Austria,,9/1/39,8/31/45,50000,65000,61000,57500.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Belgium,,9/1/39,8/31/45,"12,1","12,1",,12100.0,,0,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Belgium,,9/1/39,8/31/45,"48,9","48,9",,48900.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Belgium,,9/1/39,8/31/45,25000,29000,29000,27000.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Bulgaria,,9/1/39,8/31/45,22,22,,22000.0,,0,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Bulgaria,,9/1/39,8/31/45,3,3,,3000.0,,1,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Czechoslovakia,,9/1/39,8/31/45,25,25,,25000.0,,0,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Czechoslovakia,,9/1/39,8/31/45,"222,35","222,35",,222350.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Czechoslovakia,,9/1/39,8/31/45,77000,78300,82000,77650.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Denmark,,9/1/39,8/31/45,"2,1","2,1",,2100.0,,0,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Denmark,,9/1/39,8/31/45,"1,012","1,012",,1012.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Denmark,,9/1/39,8/31/45,60,116,0,88.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Estonia,,9/1/39,8/31/45,"48,25","48,25",,48250.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Estonia,,9/1/39,8/31/45,1500,2000,2000,1750.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Finland,,9/1/39,8/31/45,95,95,,95000.0,,0,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
Finland,,9/1/39,8/31/45,2,2,,2000.0,,1,,,,,http://en.wikipedia.org/wiki/World_War_II_casualties,
France,,6/23/40,8/31/45,132600,132600,,132600.0,,0,,,,wiki-buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
France,,9/1/39,8/31/45,274,274,,274000.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
France,,5/10/40,6/22/40,55000,85000,85000,70000.0,,0,,invasion-germany,,Battle of France,http://en.wikipedia.org/wiki/Battle_of_France,
France,,9/1/39,8/31/45,75000,77000,81000,76000.0,,1,,holocaust-jewish,,"override hi-low-avg multiplied by 1.06, to get 5.7 million",http://en.wikipedia.org/wiki/World_War_II_casualties,
Germany,,9/1/39,8/31/45,"1,365,000","2,958,000",,2161500.0,,1,,,,wiki buffer,http://en.wikipedia.org/wiki/World_War_II_casualties,
Germany,,9/1/39,9/30/39,15000,15000,,15000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,10/1/39,10/31/39,3000,3000,,3000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,11/1/39,11/30/39,1000,1000,,1000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,1/1/40,1/31/40,2000,2000,,2000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,3/1/40,3/31/40,5000,5000,,5000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,4/1/40,4/30/40,3000,3000,,3000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,5/1/40,5/31/40,21000,21000,,21000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,6/1/40,6/30/40,29000,29000,,29000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,7/1/40,7/31/40,7000,7000,,7000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,8/1/40,8/31/40,4000,4000,,4000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,9/1/40,9/30/40,4000,4000,,4000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,10/1/40,10/31/40,5033,5033,,5033.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,11/1/40,11/30/40,1000,1000,,1000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
Germany,,12/1/40,12/31/40,2000,2000,,2000.0,,0,,,,,http://en.wikipedia.org/wiki/German_casualties_in_World_War_II,
